Company Name,Website,Extracted Name,Confidence Score,Extracted Country,Reason
Sino Mould,sino-mould.com,sino mould,100,,fetched page text does not mention the searched term 'injection moulding manufacturer'
Mulan MFG,mulan-mfg.com,Mulan Group,100,China,fetched page text does not mention the searched term 'injection moulding manufacturer'
Taizhou Huangyan Yongsheng Mould,ysmould.com,,,,no company name found in page text
Motherson,motherson.com,Motherson Group,100,,fetched page text does not mention the searched term 'injection moulding manufacturer'
Supreme Industries,supreme.co.in,The Supreme Industries Limited,100,India,fetched page text does not mention the searched term 'injection moulding manufacturer'
Nilkamal,nilkamal.com,Nilkamal Limited,100,India,fetched page text does not mention the searched term 'injection moulding manufacturer'
Time Technoplast,timetechnoplast.com,Time Technoplast Ltd.,100,India,fetched page text does not mention the searched term 'injection moulding manufacturer'
Pearl Polymers,pearlpet.net,Pearlpet,80,India,fetched page text does not mention the searched term 'injection moulding manufacturer'
UFlex,uflexltd.com,UFlex Limited,100,India,fetched page text does not mention the searched term 'injection moulding manufacturer'
Pennine Manufacturing,penninemanufacturing.co.uk,Pennine Manufacturing Ltd,100,UK,fetched page text does not mention the searched term 'injection moulding manufacturer'
Amber Plastics,amberplastics.co.uk,Amber Plastics,100,,fetched page text does not mention the searched term 'injection moulding manufacturer'
Nylacast,nylacast.com,Nylacast Engineered Products Ltd,100,null,fetched page text does not mention the searched term 'injection moulding manufacturer'
HTP Europe,htp-europe.com,HTP Europe,100,Belgique,fetched page text does not mention the searched term 'injection moulding manufacturer'
K.D. Feddersen,kdfeddersen.com,K.D. Feddersen GmbH & Co. KG,90,Germany,fetched page text does not mention the searched term 'injection moulding manufacturer'
Röchling,roechling.com,Röchling SE & Co. KG,100,Germany,fetched page text does not mention the searched term 'injection moulding manufacturer'
Gerresheimer,gerresheimer.com,Gerresheimer,100,Germany,fetched page text does not mention the searched term 'injection moulding manufacturer'
Elastron,elastron.com,Elastron,100,,fetched page text does not mention the searched term 'injection moulding manufacturer'
Aspava Industrial Technology,aspava.com.tr,Aspava,100,Turkey,fetched page text does not mention the searched term 'injection moulding manufacturer'
Pöppelmann,poeppelmann.com,Pöppelmann GmbH & Co. KG,100,Deutschland,fetched page text does not mention the searched term 'injection moulding manufacturer'
Fatra,fatra.cz,"Fatra, a.s.",100,Czech Republic,fetched page text does not mention the searched term 'injection moulding manufacturer'
KOH-I-NOOR HARDTMUTH,koh-i-noor.cz,KOH-I-NOOR HARDTMUTH a.s.,90,Czech Republic,fetched page text does not mention the searched term 'injection moulding manufacturer'
